val1,suit1,val2,suit2,nwin,nloose,nsplit
5.0,3.0,5.0,2.0,0.5818,0.4046,0.0136
5.0,3.0,5.0,1.0,0.5922,0.3936,0.0142
5.0,3.0,5.0,0.0,0.5776,0.41,0.0124
5.0,2.0,5.0,1.0,0.5984,0.3872,0.0144
5.0,2.0,5.0,0.0,0.5908,0.396,0.0132
5.0,1.0,5.0,0.0,0.588,0.3958,0.0162
5.0,3.0,6.0,0.0,0.3676,0.5696,0.0628
5.0,3.0,6.0,3.0,0.405,0.5318,0.0632
5.0,3.0,6.0,1.0,0.3684,0.575,0.0566
5.0,3.0,6.0,2.0,0.3772,0.5636,0.0592
5.0,2.0,6.0,0.0,0.3732,0.5664,0.0604
5.0,2.0,6.0,3.0,0.3658,0.5742,0.06
5.0,2.0,6.0,1.0,0.3758,0.564,0.0602
5.0,2.0,6.0,2.0,0.4048,0.5392,0.056
5.0,1.0,6.0,0.0,0.3736,0.569,0.0574
5.0,1.0,6.0,3.0,0.3764,0.567,0.0566
5.0,1.0,6.0,1.0,0.3974,0.5492,0.0534
5.0,1.0,6.0,2.0,0.3668,0.572,0.0612
5.0,0.0,6.0,3.0,0.3688,0.5728,0.0584
5.0,0.0,6.0,1.0,0.3608,0.575,0.0642
5.0,0.0,6.0,2.0,0.3668,0.5706,0.0626
5.0,3.0,7.0,2.0,0.3784,0.5664,0.0552
5.0,3.0,7.0,0.0,0.3806,0.5638,0.0556
5.0,3.0,7.0,3.0,0.4138,0.5278,0.0584
5.0,3.0,7.0,1.0,0.3894,0.555,0.0556
5.0,2.0,7.0,0.0,0.3756,0.5648,0.0596
5.0,2.0,7.0,3.0,0.3712,0.569,0.0598
5.0,2.0,7.0,1.0,0.378,0.5626,0.0594
5.0,1.0,7.0,0.0,0.3832,0.5602,0.0566
5.0,1.0,7.0,3.0,0.3806,0.561,0.0584
5.0,1.0,7.0,1.0,0.4038,0.5398,0.0564
5.0,0.0,7.0,0.0,0.4066,0.5306,0.0628
5.0,0.0,7.0,3.0,0.3788,0.5616,0.0596
5.0,0.0,7.0,1.0,0.3852,0.5572,0.0576
5.0,3.0,8.0,1.0,0.4004,0.5478,0.0518
5.0,3.0,8.0,3.0,0.44,0.5068,0.0532
5.0,2.0,8.0,1.0,0.3942,0.549,0.0568
